距离,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0,59,90,211,356,461,546,83,133,196,301,372,514,554,128,164,194,366,180,188,269,310,235,361,449
2,59,0,44,158,304,408,491,72,74,137,244,313,456,496,115,113,136,307,154,143,214,252,196,308,391
3,90,44,0,121,266,371,456,115,68,113,217,286,426,467,154,124,126,287,186,161,214,242,217,311,378
4,211,158,121,0,145,250,336,216,112,59,114,173,311,350,241,155,104,191,250,194,184,181,245,272,294
5,356,304,266,145,0,106,196,358,250,181,116,101,192,229,377,278,217,158,374,310,254,216,349,310,258
6,461,408,371,250,106,0,96,460,350,280,193,138,126,152,474,371,310,196,466,398,328,277,431,359,265
7,546,491,456,336,196,96,0,536,428,358,259,190,86,85,546,440,380,234,530,462,379,323,486,388,266
8,83,72,115,216,358,460,536,0,109,180,280,352,492,532,47,109,160,332,97,119,211,262,157,296,401
9,133,74,68,112,250,350,428,109,0,71,174,245,388,427,130,60,62,235,143,100,145,179,156,242,318
10,196,137,113,59,181,280,358,180,71,0,107,176,319,359,196,101,46,174,197,138,130,139,187,223,268
11,301,244,217,114,116,193,259,280,174,107,0,72,214,253,287,182,122,77,274,206,139,101,238,197,184
12,372,313,286,173,101,138,190,352,245,176,72,0,143,182,358,252,193,62,340,272,193,140,298,223,158
13,514,456,426,311,192,126,86,492,388,319,214,143,0,41,496,389,332,168,473,406,314,256,421,310,182
14,554,496,467,350,229,152,85,532,427,359,253,182,41,0,534,428,372,204,510,443,350,292,457,338,204
15,128,115,154,241,377,474,546,47,130,196,287,358,496,534,0,107,166,331,55,98,197,252,124,271,388
16,164,113,124,155,278,371,440,109,60,101,182,252,389,428,107,0,62,226,97,41,104,152,97,197,293
17,194,136,126,104,217,310,380,160,62,46,122,193,332,372,166,62,0,175,157,95,92,118,142,188,256
18,366,307,287,191,158,196,234,332,235,174,77,62,168,204,331,226,175,0,306,239,148,90,254,163,108
19,180,154,186,250,374,466,530,97,143,197,274,340,473,510,55,97,157,306,0,68,162,221,72,226,350
20,188,143,161,194,310,398,462,119,100,138,206,272,406,443,98,41,95,239,68,0,100,156,56,178,290
21,269,214,214,184,254,328,379,211,145,130,139,193,314,350,197,104,92,148,162,100,0,60,107,97,192
22,310,252,242,181,216,277,323,262,179,139,101,140,256,292,252,152,118,90,221,156,60,0,166,97,140
23,235,196,217,245,349,431,486,157,156,187,238,298,421,457,124,97,142,254,72,56,107,166,0,155,286
24,361,308,311,272,310,359,388,296,242,223,197,223,310,338,271,197,188,163,226,178,97,97,155,0,143
25,449,391,378,294,258,265,266,401,318,268,184,158,182,204,388,293,256,108,350,290,192,140,286,143,0